"","number","contract_name","name","address","banking","bonus","bike_stands","available_bike_stands","available_bikes","status","last_update","position.lat","position.lng"
"1",2010,"lyon","2010 - CONFLUENCE / DARSE","ANGLE ALLEE ANDRE MURE ET QUAI ANTOINE RIBOUD",TRUE,FALSE,22,21,1,"OPEN",1695362953000,45.743317,4.815747
"2",5015,"lyon","5015 - FULCHIRON","Devant le n°41 rue de la Quarantaine",TRUE,FALSE,19,9,9,"OPEN",1695363110000,45.75197,4.821662
"3",32001,"lyon","32001 - COUZON - CENTRE","",TRUE,FALSE,17,2,15,"OPEN",1695362950000,45.846034,4.832409
"4",6004,"lyon","6004 - FOCH","Angle rue Vendôme",TRUE,FALSE,20,17,2,"OPEN",1695362996000,45.768896,4.844845
"5",7035,"lyon","7035 - MARSEILLE / UNIVERSITÉ","Angle rue de Marseille",TRUE,FALSE,40,17,23,"OPEN",1695363266000,45.750945,4.83927
"6",10120,"lyon","10120 - SALENGRO / DESCARTES","41 AV. ROGER SALENGRO (VILLEURBANNE)",TRUE,FALSE,15,7,8,"OPEN",1695362911000,45.776239,4.871634
"7",5016,"lyon","5016 - POINT DU JOUR / GRANGES","Devant la mairie du 5°",FALSE,TRUE,13,8,4,"OPEN",1695363256000,45.756204,4.802727
"8",9013,"lyon","9013 - QUAI PAUL SÉDALLIAN","Angle rue de la Navigation",FALSE,FALSE,20,15,5,"OPEN",1695363196000,45.787522,4.814418
"9",10028,"lyon","10028 - ECOLE DE MUSIQUE","Cours de la République/Angle Anatole France",TRUE,FALSE,24,23,0,"OPEN",1695363160000,45.767467,4.874032
"10",6041,"lyon","6041 - CITÉ INTERNATIONALE / TÊTE D'OR NORD","50 QUAI ACHILLE LIGNON",FALSE,FALSE,22,22,0,"OPEN",1695362955000,45.78458,4.859664
"11",201,"lyon","BORNE DE TEST LYON (PLAISIR)","Test Lyon au Labo Maurepas",FALSE,FALSE,3,0,1,"OPEN",1695227412000,45.780403,4.904954
"12",10011,"lyon","10011 - GRATTE-CIEL","174 COURS EMILE ZOLA",TRUE,FALSE,16,11,5,"OPEN",1695363253000,45.769226,4.880491
"13",15002,"lyon","15002 - ST PRIEST - CITE BERLIET","",FALSE,FALSE,20,9,11,"OPEN",1695363238000,45.70597,4.900886
"14",10005,"lyon","10005 - 11 NOVEMBRE","Face Entrée du Parc de la Tête d'Or**",FALSE,FALSE,35,31,4,"OPEN",1695363032000,45.779702,4.860029
"15",4012,"lyon","4012 - PLACE ADRIEN GODIEN","Angle montée de la Boucle",TRUE,FALSE,30,15,13,"OPEN",1695363240000,45.778767,4.841109
"16",11004,"lyon","11004 - CALUIRE - BRANLY / PASTEUR","",TRUE,FALSE,15,14,1,"OPEN",1695363085000,45.79169,4.843452
"17",16002,"lyon","16002 - VÉNISSIEUX - LÉVY / VIENNE","",FALSE,FALSE,18,12,6,"OPEN",1695363104000,45.719399,4.854681
